监测	[0.0007057449966164901, 0.00013280212483399734, 0.0015177247326616447, 0.0046548329182834304, 0.00025588057242356346, 0.0011097478059035456, 0.00016572754391779913, 4.368881465524484e-05, 0.00023788610745132483, 4.4783304783976535e-05]
数据	[0.007917122883854122, 0.003065515714918105, 0.003000718922241787, 0.0044448948861991085, 0.0022280332769563944, 0.002282016614956587, 0.0009202239938593584, 0.0014652556299759039, 0.0009844825062216367, 0.0007650481233929324]
民众	[0.00034851604771184695, 0.0051792828685258965, 0.001010658803671713, 0.0006804887936526321, 7.801236964133033e-05, 0.0015708402041310753, 0.014863143938733144, 0.00029573966843550356, 0.0018664909969257795, 0.00022018458185455128]
报道	[0.003264433646900966, 0.04868673454330825, 0.0020977248021227307, 0.0018061910001737418, 0.0013605357265448008, 0.0015278570144657971, 0.015848786699928476, 0.0028498549867421253, 0.0016871614697701654, 0.004948555178629407]
表现	[0.0005198697711701717, 0.0004426737494466578, 0.00014586828094230908, 0.0001954595471129901, 0.002287322677883805, 0.00020319326023586048, 0.0010467002773755735, 0.008512597501671937, 0.0014016981408285756, 0.0024145665162694013]
动力	[0.0004356450596398087, 0.00012911317692194187, 0.00026742518172756665, 0.0017482770602884113, 0.015970692312973146, 7.815125393686942e-05, 8.722502311463112e-05, 0.0002386081415786449, 5.123700775874689e-05, 9.329855163328445e-05]
车型	[0.00027881283816947754, 4.4267374944665784e-05, 2.7784434465201734e-05, 0.00019907916835582324, 0.0512291628960688, 5.861344045265206e-05, 1.308375346719467e-05, 1.6803390252017247e-05, 7.319572536963841e-06, 3.7319420653313777e-06]
空气	[0.0002497698341934903, 0.00015862476021838572, 0.0007015569702463438, 0.003257659118549835, 0.0007801236964133033, 0.0010198738638761459, 0.0002006175531636516, 6.385288295766554e-05, 0.00010247401551749378, 9.329855163328445e-05]
发动机	[0.00017135372345832475, 0.000298804780876494, 0.00030562877911721905, 0.0003040481843979846, 0.02861805767922562, 0.00014848738248005188, 4.797376271304712e-05, 2.3524746352824145e-05, 1.4639145073927682e-05, 1.8659710326656888e-05]
提升	[0.0024831768399469095, 0.00047956322856721264, 0.001892814597941868, 0.0009012856894654544, 0.004094089158777015, 0.0011175629312972326, 0.0008329989707447273, 0.0008468908687016693, 0.0007319572536963841, 0.00019032904533190028]
变速箱	[8.712901192796173e-06, 3.6889479120554816e-06, 6.9461086163004335e-06, 7.2392424856663e-06, 0.005130093427613882, 3.907562696843471e-06, 4.361251155731556e-06, 6.721356100806899e-06, 3.6597862684819205e-06, 7.4638841306627555e-06]
配备	[2.613870357838852e-05, 0.00010697948944960897, 0.0001493413352504593, 7.2392424856663e-05, 0.004328126267701007, 0.0001602100705705823, 4.797376271304712e-05, 2.6885424403227596e-05, 3.293807641633728e-05, 4.1051362718645156e-05]
村民	[0.0006360417870741207, 0.0002803600413162166, 0.001507305569737194, 0.0020921410783575605, 2.184346349957249e-05, 0.005486218026368233, 0.00028348132512255115, 4.0328136604841395e-05, 0.002086078173034695, 0.0001343499143519296]
游客	[0.00330218955206975, 0.0035709015788697065, 0.0014829941895801424, 0.0005103665952394742, 9.36148435695964e-05, 0.005681596161210407, 0.004657816234321302, 0.00036295322944357255, 0.004322207583077148, 0.0002686998287038592]
议员	[2.3234403180789795e-05, 0.002648664600855836, 6.946108616300433e-05, 5.79139398853304e-05, 1.5602473928266064e-05, 3.907562696843471e-06, 0.0012342340770720305, 2.3524746352824145e-05, 3.6597862684819206e-05, 1.4927768261325511e-05]
国会	[3.775590516878342e-05, 0.0038660174118341447, 7.293414047115454e-05, 3.981583367116465e-05, 3.1204947856532132e-06, 7.815125393686942e-06, 8.722502311463112e-05, 1.3442712201613798e-05, 2.5618503879373445e-05, 7.4638841306627555e-06]
委员会	[0.0007202664986044837, 0.005064925483252177, 0.0031396410945677957, 0.0007347831122951294, 0.0002090731506387653, 0.000937815047242433, 0.0022460443452017513, 0.0009745966346170003, 0.0009478846435368174, 0.00034707061207581814]
推动	[0.0027968412828875714, 0.0010808617382322562, 0.007748384161483133, 0.0010750275091214456, 0.0003026879942083617, 0.0004532772728338426, 0.003270938366798667, 0.00029573966843550356, 0.0008710291318986971, 0.00015300962467858649]
美国	[0.007498903626599907, 0.04586837833849786, 0.004699042478927243, 0.008759483407656223, 0.004281318845916209, 0.0015161343263752666, 0.0048279050293948324, 0.00667430660810125, 0.005409164104816279, 0.007314606448049501]
调查	[0.002654530563405234, 0.011974324922532094, 0.0033098207556671562, 0.003188886314936005, 0.0016507417416105497, 0.0068343271567792305, 0.005586762730492124, 0.0009981213809698245, 0.0014968525838091056, 0.0011643659243833898]
俄罗斯	[0.0019197425628127568, 0.016954404603806993, 0.0013058684198644815, 0.0018966815312445706, 0.00041502580649187737, 0.0005275209640738686, 0.0001395600369834098, 0.0033237105918490113, 0.001474893866198214, 0.0002686998287038592]
相关	[0.004722392446495526, 0.004902611775121735, 0.004834491596945102, 0.005451149591706724, 0.002571287703378248, 0.00821760435146182, 0.004592397466985329, 0.0016030434300424454, 0.0025581906016688624, 0.0014293338110219177]
公司	[0.019119009517392403, 0.00815626383355467, 0.003802994467424487, 0.022640730873921353, 0.0103912476362252, 0.0137350828794048, 0.004749402508591665, 0.002197883444963856, 0.0034255599472990776, 0.009348514873655102]
资金	[0.0056052997673655385, 0.0012062859672421426, 0.002438084124321452, 0.002960850176637517, 0.0005585685666319251, 0.002813445141727299, 0.0003794288505486454, 0.00026885424403227595, 0.0003952569169960474, 0.00017913321913590614]
电影	[0.0005431041743509615, 0.0006381879887855983, 0.0003195209963498199, 5.79139398853304e-05, 0.0001716272132109267, 0.0005079831505896513, 0.001984369275857858, 0.00035623187334276566, 0.007897818767383985, 0.041771627537254115]
观众	[0.0002497698341934903, 0.0005348974472480448, 0.00030215572480906885, 3.257659118549835e-05, 0.00027772403592313597, 0.0005705041537391467, 0.0010205327704411842, 0.0018718976740747214, 0.013797394232176841, 0.027717133719216143]
希望	[0.0008596729176892225, 0.00478456544193596, 0.0025700601880311604, 0.0005719001563676377, 0.0005023996604901673, 0.002633697257672499, 0.008277654693578494, 0.00985014736573251, 0.00342921973356756, 0.009173113596584527]
影片	[0.00011907631630154771, 0.0002471595101077173, 5.556886893040347e-05, 1.44784849713326e-05, 2.8084453070878917e-05, 8.596637933055636e-05, 0.0010467002773755735, 0.00010754169761291038, 0.002250768555116381, 0.015592053948954496]
南京	[0.0007986826093396493, 9.591264571344253e-05, 0.0009724552062820607, 0.0014840447095615915, 0.00036509788992142593, 0.0025164703767671954, 0.000540795143310713, 0.0008368088345504589, 0.004278290147855366, 0.0008844702694835366]
活动	[0.00355195938626324, 0.00582115980522355, 0.005105389832980818, 0.0022333063068280534, 0.0017974049965362507, 0.007877646396836437, 0.009202239938593584, 0.003837894333560739, 0.014123115210071731, 0.006000962841052855]
救援	[0.00010455481431355408, 0.002611775121735281, 0.001670539122220254, 0.0005393235651821393, 0.00021531414021007172, 0.00558390709378932, 0.0007719414545644855, 0.00011426305371371728, 9.149465671204801e-05, 0.00012688603022126683]
澳大利亚	[0.0006912234946284964, 0.004271801682160248, 0.0004376048428269273, 0.000770979324723461, 0.0002870855202800956, 0.00021100838562954742, 7.414126964743645e-05, 0.0018416515716210902, 0.0004940711462450593, 0.00024257623424653955]
人员	[0.0015828437166913048, 0.006440903054448871, 0.005060240126974865, 0.0019111600162159033, 0.0009299074461246575, 0.010765335229803762, 0.003824817263576575, 0.0008569729028528796, 0.00175303762260284, 0.0005373996574077184]
行业	[0.009935611660185237, 0.0010550391028478678, 0.0019379643039478208, 0.008553164996814733, 0.002390299005810361, 0.002282016614956587, 0.0006367426687368072, 0.00046713424900607944, 0.0016761821109647196, 0.0017465488865750847]
中国	[0.05272466941800724, 0.02179799321233584, 0.056749707395174535, 0.02722317136734812, 0.02217111545206608, 0.01620075494111303, 0.009507527519494793, 0.04090953390756119, 0.06590177133655395, 0.02489951745989095]
发展	[0.03781979977753059, 0.007027445772465693, 0.04801497581017675, 0.02095760699600394, 0.007298837303642866, 0.010269074767304641, 0.018975803778588003, 0.0053938882708975365, 0.01444517640169814, 0.0030676563777023926]
企业	[0.04018970890197115, 0.005194038660174118, 0.014100600491089878, 0.03205536572653037, 0.007514151443852937, 0.009792352118289738, 0.007989812117300212, 0.0009880393468186142, 0.0024630361586883325, 0.001018820183835466]
产业	[0.011753703709082039, 0.0007746790615316512, 0.0038446711191222897, 0.008183963630045752, 0.0009330279409103107, 0.002450041810920856, 0.005390506428484204, 0.0005645939124677795, 0.0026057678231591274, 0.0009852327052474838]
太阳能	[0.0002265354310127005, 0.00021027003098716247, 0.00011808384647710736, 0.004893727920310419, 0.0001404222653543946, 0.00010550419281477371, 0.0001003087765818258, 1.0082034151210349e-05, 5.855658029571073e-05, 2.6123594457319643e-05]
能源	[0.001611886720667292, 0.000804190644828095, 0.0008752096856538546, 0.01794970174320959, 0.0004743152074192884, 0.0003086974530506342, 0.0003489000924585245, 4.368881465524484e-05, 6.221636656419266e-05, 3.7319420653313777e-05]
事故	[0.0003078558421454648, 0.005160838128965619, 0.002309581114919894, 0.003232321769850003, 0.0017069106477523076, 0.0066897473369960225, 0.0011470090539573994, 0.00035623187334276566, 6.953593910115649e-05, 0.0001865971032665689]
导致	[0.0005111568699773755, 0.0035561457872214843, 0.0004897006574491805, 0.00144784849713326, 0.0010703297114790522, 0.0017310502747016575, 0.0008635277288348482, 0.0006788569661814968, 0.00029278290147855365, 0.0005672551939303694]
车辆	[0.0017512931397520308, 0.0009296148738379814, 0.0014864672438882926, 0.0028341634331383566, 0.01431370958179129, 0.008069116968981768, 0.0008373602219004588, 0.00014450915616734833, 0.00020128824476650564, 0.00010449437782927857]
专家	[0.0008277256133156364, 0.0015198465397668584, 0.0013301798000215329, 0.0015962529680894192, 0.0005148816396327801, 0.0020202099142680742, 0.0007414126964743646, 0.00042680611240123806, 0.004999268042746303, 0.0006269662669756715]
警察	[2.3234403180789795e-05, 0.0036188579017264275, 0.00022922158433791428, 4.7055076156830946e-05, 7.801236964133033e-05, 0.001094117555116172, 0.0026603632049962494, 0.00030246102453631045, 0.00021958717610891525, 0.0007314606448049501]
剧中	[2.9043003975987243e-06, 1.844473956027741e-05, 3.4730543081502167e-06, 1.085886372849945e-05, 9.36148435695964e-06, 2.7352938877904297e-05, 0.00012211503236048357, 6.721356100806899e-06, 0.0011418533157663592, 0.006056941972032826]
实力	[0.00012488491709674516, 0.00012542422900988637, 0.00015628744386675974, 2.17177274569989e-05, 0.00019347067671049922, 6.252100314949554e-05, 0.00032273258552413514, 0.0037068278895950046, 0.0001573708095447226, 0.0008583466750262168]
采访	[0.00021201392902470687, 0.0007820569573557621, 0.000514012037606232, 0.0003330051543406498, 0.0002090731506387653, 0.0006017646553138945, 0.0005669626502451023, 0.0024432129426433078, 0.0011930903235251062, 0.004205898707628462]
工作	[0.0073304542035391804, 0.006190054596429098, 0.030316291055843242, 0.009856228644234667, 0.0013823791900443735, 0.020772603296419893, 0.005961830329885037, 0.0039387146750728425, 0.008110086370955937, 0.007542254914034714]
发生	[0.0005140611703749742, 0.016120702375682455, 0.0042614376361003155, 0.0027726298720101928, 0.0017942845017505976, 0.01156247801995983, 0.005813547790590164, 0.0014753376641271144, 0.0009369052847313716, 0.0014144060427605922]
群众	[0.0004879224667965857, 0.00016969160395455217, 0.005893773160930918, 0.0010460705391787803, 8.737385399828996e-05, 0.005251764264557625, 0.00031401008321267203, 0.00038983865384680015, 0.0012187088274044796, 0.0002015248715278944]
队员	[2.3234403180789795e-05, 0.00030987162461266045, 0.0003229940506579701, 0.0001158278797706608, 1.5602473928266064e-05, 0.0011605461209625108, 0.0002485913158766987, 0.009298996165466344, 0.00026350461133069827, 0.0002351123501158768]
比赛	[0.00018006662465112092, 0.0011140622694407556, 0.00034035932219872125, 7.2392424856663e-05, 0.00046495372306232875, 0.0008635713560024071, 0.0009158627427036268, 0.08198038036154175, 0.0014675742936612502, 0.00222050552887217]
球员	[3.485160477118469e-05, 0.00025084845801977274, 2.08383258489013e-05, 3.61962124283315e-06, 1.2481979142612853e-05, 7.424369124002594e-05, 0.00018753379969645693, 0.03365046931868974, 2.9278290147855364e-05, 0.00011942214609060409]
俱乐部	[0.00021782252981990434, 0.00033200531208499334, 6.946108616300433e-05, 2.533734869983205e-05, 0.00012169929664047531, 0.00023054619911376477, 8.286377195889956e-05, 0.018893731999368193, 7.685551163812033e-05, 0.0001343499143519296]
治疗	[0.0002730042373742801, 0.0012505533421868084, 0.0006946108616300433, 0.0001085886372849945, 1.2481979142612853e-05, 0.0034503778613127847, 0.0012734853374736144, 0.0009409898541129658, 0.0003184014053579271, 0.0005411315994730498]
台湾	[0.0006128073838933309, 0.00015862476021838572, 0.0011391618130732711, 0.0001954595471129901, 7.17713800700239e-05, 0.0007736974139750072, 0.12708685867801756, 0.0002722149220826794, 0.0031071585419411504, 0.005101564803307993]
参加	[0.00029333434015747117, 0.003131916777335104, 0.0016566469049876533, 0.00038006023049748074, 0.00031204947856532133, 0.0016411763326742578, 0.0029482057812745322, 0.010085394829260751, 0.00238252086078173, 0.004788081669820158]
书法	[5.808600795197449e-06, 2.2133687472332892e-05, 4.8622760314103034e-05, 3.61962124283315e-06, 6.2409895713064265e-06, 0.000132857131692678, 0.0004099576086387663, 3.3606780504034494e-05, 0.0023312838530229834, 0.0001007624357639472]
作品	[0.00027009993697668135, 0.00047218533274310165, 0.0004271856799024766, 5.06746973996641e-05, 5.6168906141757835e-05, 0.000804957915549755, 0.001936395513144811, 0.00013778780006654142, 0.024246084028692723, 0.006661516586616509]
展出	[4.356450596398087e-05, 0.00015493581230633023, 7.640719477930476e-05, 1.44784849713326e-05, 0.0002090731506387653, 9.37815047242433e-05, 0.0008896952357692375, 2.0164068302420698e-05, 0.0035646318255013907, 8.583466750262169e-05]
增长	[0.018999933201090856, 0.003039693079533717, 0.004032216051762402, 0.007199426651995135, 0.007411175115926381, 0.001461428448619458, 0.0013607103605882455, 0.00021508339522582077, 0.0007282974674279022, 0.0003545344962064809]
商品	[0.0033573712596241256, 0.0006750774679061531, 0.00047233538590842945, 0.0007492615972664621, 0.00018410919235353957, 0.0009026469829708418, 0.0009943652635067948, 0.00013442712201613798, 0.00030742204655248134, 0.00022018458185455128]
价格	[0.007978113192203696, 0.0008964143426294821, 0.0009863474235146615, 0.015419586494469218, 0.011218178754423302, 0.0017857561524574662, 0.0007632189522530224, 0.0004469701807036588, 0.0010942760942760942, 0.00042170945338244567]
全国	[0.006525962993404334, 0.001921941862180906, 0.007022515811079738, 0.005675566108762379, 0.001285643851689124, 0.0034503778613127847, 0.0004099576086387663, 0.0032766610991433634, 0.004596691553213292, 0.002470545647249372]
单位	[0.0016554512266312728, 0.0002213368747233289, 0.003813413630348938, 0.0031201135113221755, 0.0006802678632724004, 0.004212352587197261, 0.0011164802958672784, 0.0002050013610746104, 0.0020824183867662127, 0.0003022873072918416]
增速	[0.00480371285762829, 0.00023240371845949535, 0.00046886233160027926, 0.0015528175131754214, 0.0007645212224850372, 0.000132857131692678, 8.722502311463112e-05, 1.3442712201613798e-05, 4.025764895330113e-05, 2.2391652391988267e-05]
运动	[0.0002642913361814839, 0.0009628154050464807, 0.00037161681097207315, 9.049053107082875e-05, 0.00449663298612628, 0.000746344475097103, 0.0010990352912443521, 0.006160122866389523, 0.0005928853754940712, 0.0010636034886194426]
搭载	[4.066020556638214e-05, 0.0002471595101077173, 9.029941201190563e-05, 7.2392424856663e-06, 0.00682764259100923, 3.5168064271591236e-05, 7.414126964743645e-05, 6.721356100806899e-06, 1.8298931342409603e-05, 7.4638841306627555e-06]
内饰	[5.808600795197449e-06, 3.6889479120554816e-06, 3.4730543081502167e-06, 1.085886372849945e-05, 0.008515830270047618, 3.907562696843471e-06, 4.361251155731556e-06, 6.721356100806899e-06, 3.6597862684819205e-06, 2.2391652391988267e-05]
